id,timestamp,seq_number,data,timestamp_received,time_delay
345,2017-10-30 13:21:36,23,x,2017-10-30 13:22:30,00:00:54
346,2017-10-30 13:21:37,24,x,2017-10-30 13:22:30,00:00:53
347,2017-10-30 13:21:35,20,x,2017-10-30 13:22:32,00:00:57
348,2017-10-30 13:21:35,21,x,2017-10-30 13:22:33,00:00:58
349,2017-10-30 13:21:36,22,x,2017-10-30 13:22:33,00:00:57
350,2017-10-30 13:21:36,23,x,2017-10-30 13:22:33,00:00:57
351,2017-10-30 13:21:37,24,x,2017-10-30 13:22:33,00:00:56
352,2017-10-30 13:22:58,141,x,2017-10-30 13:24:24,00:01:26
353,2017-10-30 13:22:59,143,x,2017-10-30 13:24:24,00:01:25
354,2017-10-30 13:23:00,145,x,2017-10-30 13:24:24,00:01:24
355,2017-10-30 13:23:01,147,x,2017-10-30 13:24:24,00:01:23
356,2017-10-30 13:23:03,149,x,2017-10-30 13:24:24,00:01:21
357,2017-10-30 13:23:04,151,x,2017-10-30 13:24:26,00:01:22
358,2017-10-30 13:23:05,153,x,2017-10-30 13:24:27,00:01:22
359,2017-10-30 13:23:07,155,x,2017-10-30 13:24:28,00:01:21
360,2017-10-30 13:23:09,157,x,2017-10-30 13:24:28,00:01:19
361,2017-10-30 13:23:10,159,x,2017-10-30 13:24:28,00:01:18
362,2017-10-30 13:23:04,151,x,2017-10-30 13:24:30,00:01:26
363,2017-10-30 13:23:05,153,x,2017-10-30 13:24:30,00:01:25
364,2017-10-30 13:23:07,155,x,2017-10-30 13:24:30,00:01:23
365,2017-10-30 13:23:09,157,x,2017-10-30 13:24:30,00:01:21
366,2017-10-30 13:23:10,159,x,2017-10-30 13:24:30,00:01:20
367,2017-10-30 13:23:11,161,x,2017-10-30 13:24:33,00:01:22
368,2017-10-30 13:23:12,163,x,2017-10-30 13:24:33,00:01:21
369,2017-10-30 13:23:13,165,x,2017-10-30 13:24:33,00:01:20
370,2017-10-30 13:23:14,167,x,2017-10-30 13:24:33,00:01:19
371,2017-10-30 13:23:16,169,x,2017-10-30 13:24:33,00:01:17
372,2017-10-30 13:26:00,350,x,2017-10-30 13:26:49,00:00:49
373,2017-10-30 13:26:01,351,x,2017-10-30 13:26:49,00:00:48
374,2017-10-30 13:26:01,352,x,2017-10-30 13:26:49,00:00:48
375,2017-10-30 13:26:02,353,x,2017-10-30 13:26:50,00:00:48
376,2017-10-30 13:26:03,354,x,2017-10-30 13:26:50,00:00:47
377,2017-10-30 13:26:00,350,x,2017-10-30 13:26:52,00:00:52
378,2017-10-30 13:26:01,351,x,2017-10-30 13:26:52,00:00:51
379,2017-10-30 13:26:01,352,x,2017-10-30 13:26:52,00:00:51
380,2017-10-30 13:26:02,353,x,2017-10-30 13:26:52,00:00:50
381,2017-10-30 13:26:03,354,x,2017-10-30 13:26:52,00:00:49
382,2017-10-30 13:26:04,355,x,2017-10-30 13:26:54,00:00:50
383,2017-10-30 13:26:04,356,x,2017-10-30 13:26:55,00:00:51
384,2017-10-30 13:26:05,357,x,2017-10-30 13:26:55,00:00:50
385,2017-10-30 13:26:05,358,x,2017-10-30 13:26:55,00:00:50
386,2017-10-30 13:26:06,359,x,2017-10-30 13:26:55,00:00:49
387,2017-10-30 13:26:04,355,x,2017-10-30 13:26:57,00:00:53
388,2017-10-30 13:26:04,356,x,2017-10-30 13:26:57,00:00:53
389,2017-10-30 13:26:05,357,x,2017-10-30 13:26:58,00:00:53
390,2017-10-30 13:26:05,358,x,2017-10-30 13:26:58,00:00:53
391,2017-10-30 13:26:06,359,x,2017-10-30 13:26:58,00:00:52
392,2017-10-30 13:26:06,360,x,2017-10-30 13:27:00,00:00:54
393,2017-10-30 13:26:07,361,x,2017-10-30 13:27:00,00:00:53
394,2017-10-30 13:26:07,362,x,2017-10-30 13:27:00,00:00:53
395,2017-10-30 13:26:08,363,x,2017-10-30 13:27:00,00:00:52
396,2017-10-30 13:26:08,364,x,2017-10-30 13:27:00,00:00:52
397,2017-10-30 13:26:09,365,x,2017-10-30 13:27:02,00:00:53
398,2017-10-30 13:26:10,366,x,2017-10-30 13:27:02,00:00:52
